review_id,source,entity,rating,rating_scale,review_text,review_date,language,source_url
food-001,google_business,Cedar Table Berlin,5,5,"The tamarind broth tasted bright and balanced, and the herbs were genuinely fresh. The lime finish stayed clear.",2026-01-01T12:00:00Z,en,https://example.test/reviews/food-001
food-002,survey,Marina Kitchen Hamburg,2,5,The dining room was far too cold; our plates cooled before we finished. We kept our coats on.,2026-02-02T12:00:00Z,en,https://example.test/reviews/food-002
food-003,csv_import,North Market Deli,5,5,Das Sauerteigbrot war außen knusprig und innen wunderbar locker. Die Kruste splitterte angenehm.,2026-03-03T12:00:00Z,de,https://example.test/reviews/food-003
food-004,google_business,Saffron Room Köln,4,5,"La salsa de chile ahumado tenía mucho sabor, pero no tapaba los ingredientes. El picante crecía poco a poco.",2026-04-04T12:00:00Z,es,https://example.test/reviews/food-004
food-005,survey,Orchard Café München,2,5,La musique était si forte que nous ne pouvions pas parler normalement. Même le serveur devait se répéter.,2026-05-05T12:00:00Z,fr,https://example.test/reviews/food-005
food-006,csv_import,Cedar Table Berlin,3,5,"The noodles had a lovely chew, although the broth arrived lukewarm. The center was still firm.",2026-06-06T12:00:00Z,en,https://example.test/reviews/food-006
food-007,google_business,Marina Kitchen Hamburg,5,5,Our server explained every allergen clearly and never made us feel rushed. They checked the sauce separately.,2026-01-07T12:00:00Z,en,https://example.test/reviews/food-007
food-008,survey,North Market Deli,2,5,Die Abholung war chaotisch: drei Bestellungen hatten denselben Namen. Eine Nummernanzeige hätte geholfen.,2026-02-08T12:00:00Z,de,https://example.test/reviews/food-008
food-009,csv_import,Saffron Room Köln,1,5,The delivery bag leaked curry across the doorstep 😞 and nobody answered the phone. The container lid had opened.,2026-03-09T12:00:00Z,en,https://example.test/reviews/food-009
food-010,google_business,Orchard Café München,5,5,"Il tiramisù era leggero, non troppo dolce, con un caffè davvero intenso. La crema restava ariosa.",2026-04-10T12:00:00Z,it,https://example.test/reviews/food-010
food-011,survey,Cedar Table Berlin,4,5,"I expected a tourist trap, yet the seasonal menu felt thoughtful and local. The produce names matched the season.",2026-05-11T12:00:00Z,en,https://example.test/reviews/food-011
food-012,csv_import,Marina Kitchen Hamburg,2,5,“Ready in ten minutes” became a forty-five minute wait with no update. No one warned the queue.,2026-06-12T12:00:00Z,en,https://example.test/reviews/food-012
food-013,google_business,North Market Deli,5,5,The quiet corner table made our anniversary dinner feel private and considered. The staff protected the quiet atmosphere.,2026-01-13T12:00:00Z,en,https://example.test/reviews/food-013
food-014,survey,Saffron Room Köln,2,5,La ración era pequeña para el precio y el pan llegó después del plato principal. El precio parecía de plato principal.,2026-02-14T12:00:00Z,es,https://example.test/reviews/food-014
